step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-29.673717,0.218900,-29.454818,423.372,0.005532
50,12.500,-29.433594,0.077092,-29.356501,149.103,2.087359
100,25.000,-29.567255,0.293619,-29.273636,567.884,1.508766
150,37.500,-29.406273,0.230055,-29.176218,444.946,2.557428
200,50.000,-29.201902,0.158816,-29.043087,307.163,2.808618
250,62.500,-29.574629,0.515806,-29.058823,997.613,1.396697
300,75.000,-29.372072,0.113022,-29.259051,218.594,2.331632
350,87.500,-29.596926,0.329480,-29.267445,637.243,1.059362
400,100.000,-29.462551,0.087279,-29.375272,168.806,2.148248
450,112.500,-29.518749,0.147497,-29.371252,285.272,1.803009
500,125.000,-29.605007,0.221008,-29.383999,427.448,1.237887
550,137.500,-29.470205,0.125160,-29.345045,242.071,1.690463
600,150.000,-29.452988,0.201828,-29.251160,390.352,2.257773
650,162.500,-29.536316,0.213264,-29.323052,412.471,1.610953
700,175.000,-29.531002,0.111019,-29.419983,214.721,1.558572
750,187.500,-29.613214,0.124395,-29.488820,240.591,1.179109
800,200.000,-29.557838,0.035974,-29.521864,69.577,1.448612
850,212.500,-29.621111,0.197265,-29.423846,381.528,0.947483
900,225.000,-29.520855,0.107271,-29.413584,207.472,1.695703
950,237.500,-29.618788,0.149295,-29.469493,288.750,0.900820
1000,250.000,-29.623743,0.081668,-29.542075,157.954,0.994847
