step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-29.673716,0.218900,-29.454816,423.372,0.005532
50,12.500,-29.433594,0.077092,-29.356501,149.103,2.087361
100,25.000,-29.567255,0.293619,-29.273636,567.884,1.508765
150,37.500,-29.406275,0.230055,-29.176220,444.946,2.557427
200,50.000,-29.201900,0.158815,-29.043085,307.163,2.808621
250,62.500,-29.574625,0.515806,-29.058819,997.613,1.396698
300,75.000,-29.372072,0.113022,-29.259050,218.594,2.331632
350,87.500,-29.596924,0.329480,-29.267443,637.244,1.059364
400,100.000,-29.462551,0.087279,-29.375272,168.806,2.148249
450,112.500,-29.518749,0.147497,-29.371252,285.272,1.803007
500,125.000,-29.605013,0.221008,-29.384005,427.448,1.237891
550,137.500,-29.470207,0.125160,-29.345047,242.071,1.690462
600,150.000,-29.452988,0.201828,-29.251160,390.352,2.257773
650,162.500,-29.536318,0.213264,-29.323054,412.471,1.610956
700,175.000,-29.531000,0.111020,-29.419981,214.721,1.558572
750,187.500,-29.613213,0.124395,-29.488818,240.590,1.179118
800,200.000,-29.557840,0.035974,-29.521866,69.577,1.448614
850,212.500,-29.621113,0.197265,-29.423848,381.528,0.947483
900,225.000,-29.520857,0.107271,-29.413586,207.472,1.695701
950,237.500,-29.618788,0.149295,-29.469493,288.750,0.900820
1000,250.000,-29.623743,0.081668,-29.542075,157.954,0.994846
