step,time_fs,epot_eV,ekin_eV,etot_eV,temp_K,max_force_eV_per_A
0,0.000,-29.673717,0.218900,-29.454818,423.372,0.005534
50,12.500,-29.433594,0.077092,-29.356501,149.103,2.087360
100,25.000,-29.567255,0.293619,-29.273636,567.884,1.508766
150,37.500,-29.406275,0.230055,-29.176220,444.946,2.557429
200,50.000,-29.201902,0.158815,-29.043087,307.163,2.808617
250,62.500,-29.574629,0.515806,-29.058823,997.614,1.396695
300,75.000,-29.372070,0.113022,-29.259049,218.594,2.331632
350,87.500,-29.596928,0.329480,-29.267447,637.244,1.059363
400,100.000,-29.462553,0.087279,-29.375274,168.806,2.148249
450,112.500,-29.518749,0.147497,-29.371252,285.272,1.803009
500,125.000,-29.605011,0.221008,-29.384003,427.448,1.237876
550,137.500,-29.470205,0.125160,-29.345045,242.071,1.690462
600,150.000,-29.452986,0.201828,-29.251158,390.352,2.257773
650,162.500,-29.536318,0.213264,-29.323054,412.471,1.610956
700,175.000,-29.531002,0.111019,-29.419983,214.721,1.558573
750,187.500,-29.613211,0.124395,-29.488816,240.591,1.179109
800,200.000,-29.557838,0.035974,-29.521864,69.577,1.448614
850,212.500,-29.621111,0.197265,-29.423845,381.529,0.947480
900,225.000,-29.520855,0.107271,-29.413584,207.472,1.695707
950,237.500,-29.618788,0.149295,-29.469493,288.750,0.900806
1000,250.000,-29.623739,0.081668,-29.542071,157.954,0.994847
